# `#print axioms` manifest - k-Sum Lean audit, gap-closure batch 2 (2026-08-01)
# Source: build.log of the same directory (clean rebuild of KSUM + KsumAudit).
# Records: 283

KsumAudit.Obstructions.Filtration.factorial_filtration : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Filtration.occ_comp_perm : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Filtration.SNInvariant_of_occ : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Filtration.sum_uniformLift_comp : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Filtration.l1_uniformLift : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Filtration.annihilates_query_of_occ_moments : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Filtration.occ_append : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Filtration.sum_prod_uniformLift : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Filtration.l1_prod_uniformLift : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Filtration.moment_prod_uniformLift : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Transfer.InNontrivialSatellite : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Transfer.reynolds_of_invariant : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Transfer.reynolds_mem_invariant : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Transfer.inNontrivialSatellite_iff_mem_augment : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Transfer.transfer_G2_of_satellite : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Transfer.gauge_term : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Transfer.gauge_sum : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Transfer.reynolds_univ_comp : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Transfer.transfer_G2 : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Transfer.reynolds_smul_eq : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Transfer.reynolds_eq_zero_of_mem_augment : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Transfer.mem_augment_of_reynolds_eq_zero : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Transfer.reynolds_eq_zero_iff_mem_augment : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Transfer.transfer_G2_satellite : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Transfer.reynoldsFn_sum : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Transfer.reynoldsFn_invariant : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Transfer.transfer_G3 : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Transfer.psd_eq_zero_of_trace_eq_zero : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Transfer.psd_trace_pos_of_ne_zero : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Transfer.transfer_G3_nonzero : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Transfer.transfer_G3_pure_high_degree_zero : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Orientation.card_coherent : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Orientation.orientation_coherence_factor : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Orientation.orientation_counts : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Orientation.orientation_bound_even : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Orientation.orientation_bound_odd_sq : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Orientation.orientation_obstruction_half : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Orientation.endpoint_even : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Orientation.endpoint_odd : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Orientation.blockFourier_eq : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Orientation.abs_pairing_le_l1 : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Orientation.l1_ge_fourier : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Orientation.orientation_corr_le_half_even : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Orientation.orientation_corr_le_half_odd : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.JointLP.lp_weak_duality : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.JointLP.lp_optimum : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.JointLP.opt_s330_single_d1 : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.JointLP.opt_s330_joint_d2 : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.JointLP.opt_s330_joint_d3 : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.JointLP.opt_s541_single_d3 : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.JointLP.opt_s541_joint_d3 : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.JointLP.opt_s541_joint_d4 : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.twoSum_encode : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.twoSum_encode_cyc : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.twoSum_encode_cyc_pair : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.twoSum_snoc_zero : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.twoSum_encode_snoc : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.twoSum_encode_snoc_cyc : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.QueryModel.relabel_inj : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Q_claw_le_encode : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Q_claw_le_encode_odd : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Q_claw_le_twoSum_zero : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.twoSum_shift : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Q_twoSum_shift : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.exists_half_odd : depends on axioms: [propext, Quot.sound]
KsumAudit.combine_bound : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.main_odd : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.main_odd_abi : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.exists_repr_set : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.main_general : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Q_zero_le_target : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.threshold_large : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.threshold_small : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.threshold_small_abi : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.threshold : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.sqrt_mul_rpow_eq : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.ED_isIndexOne : does not depend on any axioms
KsumAudit.oabarrier_ED : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.oabarrier_ED_Q : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.oabarrier_kSum : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.demoModel : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Block.block_obstruction_corr : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Block.block_obstruction_bound : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Block.block_obstruction_band : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Block.block_obstruction_band_combination : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Block.rho_le_four_fifths : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Block.two_block_corr_lt_two_thirds : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Block.tilted_rho_le_four_fifths : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Block.block_obstruction_two_blocks : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Block.block_obstruction_two_blocks_tilted : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Block.value_budget : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Block.value_budget_equal : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Block.block_count_bounded_by_q : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Block.value_budget_q : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.Support.geom_mul_add_one : depends on axioms: [propext, Classical.choice, Quot.sound]
